Date,Price,EB
2021-04-17,60046.18288388,2672784.9216314
2021-04-18,56237.1123213,2661437.12474411
2021-04-19,55672.0101582,2641328.06904393
2021-04-20,56476.61753038,2639507.34756594
2021-04-21,53797.0682486,2633953.28361472
2021-04-22,51702.29636547,2645688.0661743
2021-04-23,51161.45727634,2659057.35026536
2021-04-24,50082.00269637,2660163.87094069
2021-04-25,49116.68110544,2653242.78127293
2021-04-26,54045.01236284,2658989.57366804
2021-04-27,55053.37855515,2661449.1349298
2021-04-28,54883.34387895,2664450.63419008
2021-04-29,53575.77245181,2659026.36400494
2021-04-30,57733.90397608,2665006.11253727
2021-05-01,57831.56095997,2666988.90586011
2021-05-02,56611.85633245,2668844.33423044
2021-05-03,57187.21017015,2667436.28559727
2021-05-04,53235.56658293,2675394.68970509
2021-05-05,57500.62827611,2680143.41424249
2021-05-06,56433.14227659,2676621.15487168
2021-05-07,57361.44578055,2663530.85323791
2021-05-08,58940.49959141,2670841.03299311
2021-05-09,58299.00263583,2675587.47895493
2021-05-10,55856.56690017,2686662.88947173
2021-05-11,56733.46530384,2685661.30827603
2021-05-12,49527.52321549,2709249.71202096
2021-05-13,49697.63023545,2718025.63360012
2021-05-14,49892.49484754,2719478.38269315
2021-05-15,46807.68052714,2722497.80035984
2021-05-16,46473.59156314,2724227.05523723
2021-05-17,43549.8321012,2759631.31341755
2021-05-18,42877.79171601,2749346.26281501
2021-05-19,36736.80100541,2776854.10621026
2021-05-20,40596.05101609,2773515.50472031
2021-05-21,37328.7226202,2756996.32392642
2021-05-22,37521.2086669,2756081.97048376
2021-05-23,34724.79807916,2746265.18367924
2021-05-24,38838.79706692,2745190.98581515
2021-05-25,38368.52419377,2752677.90172407
2021-05-26,39270.52847432,2754359.79150804
2021-05-27,38564.78894591,2762188.05995022
2021-05-28,35676.29998357,2771327.96314891
2021-05-29,34603.47971351,2775484.48076368
2021-05-30,35636.37914577,2772829.37393249
2021-05-31,37268.96523429,2782422.02773286
2021-06-01,36684.73185582,2780889.22109822
2021-06-02,37570.82253379,2775664.1253389
2021-06-03,39241.27822958,2771559.92506146
2021-06-04,36849.04338576,2775783.66076149
2021-06-05,35528.53777123,2777840.82254126
2021-06-06,35804.25646521,2774443.26979766
2021-06-07,33568.74470184,2770066.0164241
2021-06-08,33407.52774275,2771194.52807551
2021-06-09,37396.38095374,2768883.10708193
2021-06-10,36691.10283951,2780433.62112067
2021-06-11,37333.14302732,2788567.02890291
2021-06-12,35556.08739089,2790199.1565201
2021-06-13,39020.66039066,2795206.98666552
2021-06-14,40526.33622758,2797395.87418156
2021-06-15,40154.83978816,2799462.89959055
2021-06-16,38342.50354944,2800764.00918583
2021-06-17,38091.71877764,2798003.21714432
2021-06-18,35831.33208938,2786754.55335808
2021-06-19,35484.13540726,2783687.64847926
2021-06-20,35600.5476094,2786944.95009898
2021-06-21,31622.09491683,2784905.91019711
2021-06-22,32522.60328404,2782934.87351889
2021-06-23,33684.06796481,2785480.27281111
2021-06-24,34657.70950885,2783587.67481238
2021-06-25,31580.87933654,2770559.5920569
2021-06-26,32282.40222297,2765625.25367901
2021-06-27,34719.08911643,2773589.72570571
2021-06-28,34502.74972794,2772845.06304475
2021-06-29,35913.38894132,2780122.61713485
2021-06-30,35052.13646323,2776755.43609255
2021-07-01,33512.32873125,2763399.08096003
2021-07-02,33796.13251005,2761515.91684954
2021-07-03,34677.03796457,2761841.93479674
2021-07-04,35285.47457963,2764070.28076466
2021-07-05,33691.06693511,2766649.06798416
2021-07-06,34230.57626016,2762980.13257375
2021-07-07,33871.13029432,2757284.42415596
2021-07-08,32874.8699517,2753092.5347797
2021-07-09,33794.54273258,2754425.31134099
2021-07-10,33509.54010578,2754935.83355396
2021-07-11,34255.47770938,2755650.68389911
2021-07-12,33082.39377616,2755573.97087621
2021-07-13,32729.95108815,2755070.77637966
2021-07-14,32819.55707158,2757111.8709285
2021-07-15,31881.52315321,2751682.23913457
2021-07-16,31410.7763672,2750000.00116235
2021-07-17,31544.07716741,2797550.58654784
2021-07-18,31805.68424178,2813719.7426755
2021-07-19,30844.31184221,2817946.66729225
2021-07-20,29807.99777804,2820368.60552751
2021-07-21,32141.36052026,2824274.72720841
2021-07-22,32298.18967876,2830556.18378047
2021-07-23,33647.55869638,2833392.92227332
2021-07-24,34280.67795105,2837386.49608334
2021-07-25,35409.81382902,2830214.91997108
2021-07-26,37238.31372538,2855700.10958221
2021-07-27,39476.09456284,2835489.30514736
2021-07-28,40028.79669702,2790252.30667353
2021-07-29,40031.33020947,2781117.17041047
2021-07-30,42219.28810678,2779261.76917536
2021-07-31,41483.90911234,2778053.67923928
2021-08-01,39862.54677775,2781182.02790846
2021-08-02,39156.2674481,2781206.30785779
2021-08-03,38201.37886222,2776420.88743371
2021-08-04,39725.50423347,2772872.69467035
2021-08-05,40880.18376945,2775898.28909522
2021-08-06,42857.91556615,2788762.62968481
2021-08-07,44597.96418126,2793878.61962239
2021-08-08,43812.25278095,2798268.45815819
2021-08-09,46276.78637126,2803855.22444472
2021-08-10,45591.0886988,2805168.06729253
2021-08-11,45526.9047273,2809726.26977342
2021-08-12,44418.38820765,2812977.86869098
2021-08-13,47825.88504989,2813940.3801295
2021-08-14,47102.09872292,2808616.99827711
2021-08-15,47011.27624819,2812587.45581832
2021-08-16,45913.17539536,2807892.71739559
2021-08-17,44689.40079764,2810316.95201928
2021-08-18,44716.52412302,2806436.69208313
2021-08-19,46762.61676409,2804401.96761376
2021-08-20,49346.44457902,2792103.1676162
2021-08-21,48859.65345778,2803490.69775719
2021-08-22,49276.68428497,2803602.77194248
2021-08-23,49505.66529773,2801610.17513872
2021-08-24,47685.77617894,2801549.49559851
2021-08-25,48988.08090452,2782422.24794725
2021-08-26,46851.8253018,2781054.49194134
2021-08-27,49082.57387231,2779962.03848204
2021-08-28,48926.53902634,2781929.24470797
2021-08-29,48799.71581164,2780919.54339786
2021-08-30,47002.94516591,2783272.32500923
2021-08-31,47116.49406932,2785066.19632709
2021-09-01,48833.79307602,2782148.13413655
2021-09-02,49280.69353973,2783597.86433852
2021-09-03,50008.9796449,2778574.93052575
2021-09-04,49936.87289595,2780170.01086826
2021-09-05,51791.0191414,2780000.0103896
2021-09-06,52687.23876055,2776359.40165659
2021-09-07,46883.55166756,2775890.47037019
2021-09-08,46058.48080671,2773068.36241817
2021-09-09,46401.32355969,2770236.62964137
2021-09-10,44852.41074291,2723400.74726616
2021-09-11,45174.7863024,2723246.42427798
2021-09-12,46026.49409415,2722341.44820256
2021-09-13,44947.87282999,2724986.78821657
2021-09-14,47130.58425215,2720825.49660469
2021-09-15,48147.32023776,2720098.64528465
2021-09-16,47756.60419097,2718436.81965705
2021-09-17,47302.71434134,2718979.88259234
2021-09-18,48306.88096248,2720353.95072599
2021-09-19,47248.77861307,2720437.99971686
2021-09-20,43012.15849539,2719314.60423444
2021-09-21,40733.85245611,2725666.78292462
2021-09-22,43566.71684947,2724081.71136958
2021-09-23,44888.78870506,2720281.39262512
2021-09-24,42846.1876039,2713314.91072927
2021-09-25,42698.03490001,2711788.52062779
2021-09-26,43190.85553767,2712249.54975983
2021-09-27,42165.5976098,2707477.57235349
2021-09-28,41031.85888468,2702480.55077916
2021-09-29,41529.97798248,2695162.34369402
2021-09-30,43826.42812907,2700064.26904671
2021-10-01,48168.24756506,2699745.70030202
2021-10-02,47661.03776434,2699948.21313135
2021-10-03,48227.06059038,2701585.84880794
2021-10-04,49243.74046482,2701916.00257712
2021-10-05,51492.08878234,2707197.41510456
2021-10-06,55338.94550412,2712207.95630269
2021-10-07,53808.18564691,2718855.22841743
2021-10-08,53960.50369132,2717777.1287723
2021-10-09,54968.99311162,2719804.85387443
2021-10-10,54686.23223828,2720300.92448768
2021-10-11,57490.25965714,2719884.18420916
2021-10-12,56000.48177539,2719950.75972757
2021-10-13,57373.51598296,2721359.44965942
2021-10-14,57356.7322711,2719793.08317868
2021-10-15,61671.39580308,2724813.30764562
